Medal,Name,Sex,NOC,Event,Sport,City,Team,Games,Year,Weight,Height,Age,Season,ID
Bronze,SEBIC Milenko,M,SRB,50m Rifle 3 Positions Men,Shooting,Tokyo,Serbia,2020 Tokyo,2020,111,200,20,Summer,0
Gold,LI Wenwen,W,CHN,Women's +87kg,Weightlifting,Tokyo,China,2020 Tokyo,2020,98,177,27,Summer,0
Silver,CAMPBELL Emily Jade,W,GBR,Women's +87kg,Weightlifting,Tokyo,UK,2020 Tokyo,2020,55,206,18,Summer,0
Bronze,ROBLES Sarah Elizabeth,W,USA,Women's +87kg,Weightlifting,Tokyo,USA,2020 Tokyo,2020,131,201,22,Summer,0
Gold,WANG Zhouyu,W,CHN,Women's 87kg,Weightlifting,Tokyo,China,2020 Tokyo,2020,131,145,19,Summer,0
Silver,SALAZAR ARCE Tamara Yajaira,W,ECU,Women's 87kg,Weightlifting,Tokyo,Ecuador,2020 Tokyo,2020,131,204,21,Summer,0
Bronze,SANTANA PEGUERO Crismery Dominga,W,DOM,Women's 87kg,Weightlifting,Tokyo,Dominican Republic,2020 Tokyo,2020,59,156,30,Summer,0
Gold,LOPEZ NUNEZ Mijain,M,CUB,Men's Greco-Roman 130kg,Wrestling,Tokyo,Cuba,2020 Tokyo,2020,84,177,34,Summer,0
Silver,KAJAIA Iakobi,M,GEO,Men's Greco-Roman 130kg,Wrestling,Tokyo,Georgia,2020 Tokyo,2020,115,156,27,Summer,0
Bronze,KAYAALP Riza,M,TUR,Men's Greco-Roman 130kg,Wrestling,Tokyo,Turkey,2020 Tokyo,2020,103,174,31,Summer,0
Bronze,SEMENOV Sergei,M,ROC,Men's Greco-Roman 130kg,Wrestling,Tokyo,,2020 Tokyo,2020,104,164,34,Summer,0
Gold,ORTA SANCHEZ Luis Alberto,M,CUB,Men's Greco-Roman 60kg,Wrestling,Tokyo,Cuba,2020 Tokyo,2020,70,168,24,Summer,0
Silver,FUMITA Kenichiro,M,JPN,Men's Greco-Roman 60kg,Wrestling,Tokyo,Japan,2020 Tokyo,2020,149,141,22,Summer,0
Bronze,EMELIN Sergey,M,ROC,Men's Greco-Roman 60kg,Wrestling,Tokyo,,2020 Tokyo,2020,107,162,33,Summer,0
Bronze,WALIHAN Sailike,M,CHN,Men's Greco-Roman 60kg,Wrestling,Tokyo,China,2020 Tokyo,2020,53,164,20,Summer,0
Gold,ROTTER FOCKEN Aline,W,GER,Women's Freestyle 76kg,Wrestling,Tokyo,Germany,2020 Tokyo,2020,136,157,23,Summer,0
Silver,GRAY Adeline Maria,W,USA,Women's Freestyle 76kg,Wrestling,Tokyo,USA,2020 Tokyo,2020,89,195,29,Summer,0
Bronze,ADAR Yasemin,W,TUR,Women's Freestyle 76kg,Wrestling,Tokyo,Turkey,2020 Tokyo,2020,62,174,30,Summer,0
Bronze,ZHOU Qian,W,CHN,Women's Freestyle 76kg,Wrestling,Tokyo,China,2020 Tokyo,2020,143,171,31,Summer,0
Gold,HASHIMOTO Daiki,M,JPN,Men's Horizontal Bar,Gymnastics,Tokyo,Japan,2020 Tokyo,2020,89,198,22,Summer,0
Silver,SRBIC Tin,M,CRO,Men's Horizontal Bar,Gymnastics,Tokyo,Croatia,2020 Tokyo,2020,58,184,26,Summer,0
Bronze,NAGORNYY Nikita,M,ROC,Men's Horizontal Bar,Gymnastics,Tokyo,,2020 Tokyo,2020,137,203,33,Summer,0
Gold,ZOU Jingyuan,M,CHN,Men's Parallel Bars,Gymnastics,Tokyo,China,2020 Tokyo,2020,136,182,23,Summer,0
Silver,DAUSER Lukas,M,GER,Men's Parallel Bars,Gymnastics,Tokyo,Germany,2020 Tokyo,2020,112,179,32,Summer,0
Bronze,ARICAN Ferhat,M,TUR,Men's Parallel Bars,Gymnastics,Tokyo,Turkey,2020 Tokyo,2020,101,209,24,Summer,0
Gold,GUAN Chenchen,W,CHN,Women's Balance Beam,Gymnastics,Tokyo,China,2020 Tokyo,2020,84,163,21,Summer,0
Silver,TANG Xijing,W,CHN,Women's Balance Beam,Gymnastics,Tokyo,China,2020 Tokyo,2020,106,177,22,Summer,0
Bronze,BILES Simone,W,USA,Women's Balance Beam,Gymnastics,Tokyo,USA,2020 Tokyo,2020,134,174,34,Summer,0
Gold,WARHOLM Karsten,M,NOR,Men's 400m Hurdles,Athletics,Tokyo,Norway,2020 Tokyo,2020,80,144,27,Summer,0
Silver,BENJAMIN Rai,M,USA,Men's 400m Hurdles,Athletics,Tokyo,USA,2020 Tokyo,2020,60,186,24,Summer,0
Bronze,dos SANTOS Alison,M,BRA,Men's 400m Hurdles,Athletics,Tokyo,Brazil,2020 Tokyo,2020,115,200,34,Summer,0
Gold,DUPLANTIS Armand,M,SWE,Men's Pole Vault,Athletics,Tokyo,Sweden,2020 Tokyo,2020,60,163,20,Summer,0
Silver,NILSEN Christopher,M,USA,Men's Pole Vault,Athletics,Tokyo,USA,2020 Tokyo,2020,57,196,27,Summer,0
Bronze,BRAZ Thiago,M,BRA,Men's Pole Vault,Athletics,Tokyo,Brazil,2020 Tokyo,2020,55,209,19,Summer,0
Gold,THOMPSON-HERAH Elaine,W,JAM,Women's 200m,Athletics,Tokyo,Jamaica,2020 Tokyo,2020,128,164,27,Summer,0
Silver,MBOMA Christine,W,NAM,Women's 200m,Athletics,Tokyo,Namibia,2020 Tokyo,2020,142,195,33,Summer,0
Bronze,THOMAS Gabrielle,W,USA,Women's 200m,Athletics,Tokyo,USA,2020 Tokyo,2020,70,144,33,Summer,0
Gold,MU Athing,W,USA,Women's 800m,Athletics,Tokyo,USA,2020 Tokyo,2020,136,143,25,Summer,0
Silver,HODGKINSON Keely,W,GBR,Women's 800m,Athletics,Tokyo,UK,2020 Tokyo,2020,76,204,32,Summer,0
Bronze,ROGERS Raevyn,W,USA,Women's 800m,Athletics,Tokyo,USA,2020 Tokyo,2020,59,169,20,Summer,0
Gold,WLODARCZYK Anita,W,POL,Women's Hammer Throw,Athletics,Tokyo,Poland,2020 Tokyo,2020,127,177,21,Summer,0
Silver,WANG Zheng,W,CHN,Women's Hammer Throw,Athletics,Tokyo,China,2020 Tokyo,2020,75,168,33,Summer,0
Bronze,KOPRON Malwina,W,POL,Women's Hammer Throw,Athletics,Tokyo,Poland,2020 Tokyo,2020,60,207,22,Summer,0
Gold,MIHAMBO Malaika,W,GER,Women's Long Jump,Athletics,Tokyo,Germany,2020 Tokyo,2020,148,190,24,Summer,0
Silver,REESE Brittney,W,USA,Women's Long Jump,Athletics,Tokyo,USA,2020 Tokyo,2020,74,155,20,Summer,0
Bronze,BRUME Ese,W,NGR,Women's Long Jump,Athletics,Tokyo,Nigeria,2020 Tokyo,2020,77,184,25,Summer,0
Bronze,ALVAREZ Lazaro,M,CUB,Men's Feather (52-57kg),Boxing,Tokyo,Cuba,2020 Tokyo,2020,104,147,34,Summer,0
Bronze,TAKYI Samuel,M,GHA,Men's Feather (52-57kg),Boxing,Tokyo,Ghana,2020 Tokyo,2020,139,202,25,Summer,0
Bronze,NYIKA David,M,NZL,Men's Heavy (81-91kg),Boxing,Tokyo,New Zealand,2020 Tokyo,2020,110,187,19,Summer,0
Bronze,TEIXEIRA Abner,M,BRA,Men's Heavy (81-91kg),Boxing,Tokyo,Brazil,2020 Tokyo,2020,145,149,29,Summer,0
Gold,IGLESIAS Roniel,M,CUB,Men's Welter (63-69kg),Boxing,Tokyo,Cuba,2020 Tokyo,2020,83,209,20,Summer,0
Silver,McCORMACK Pat,M,GBR,Men's Welter (63-69kg),Boxing,Tokyo,UK,2020 Tokyo,2020,146,171,21,Summer,0
Gold,IRIE Sena,W,JPN,Women's Feather (54-57kg),Boxing,Tokyo,Japan,2020 Tokyo,2020,134,165,20,Summer,0
Silver,PETECIO Nesthy,W,PHI,Women's Feather (54-57kg),Boxing,Tokyo,Philippines,2020 Tokyo,2020,138,204,19,Summer,0
Gold,JORGE ENRIQUEZ Fernando Dayan,M,CUB,Men's Canoe Double 1000m,Canoeing,Tokyo,Cuba,2020 Tokyo,2020,143,202,25,Summer,0
Gold,TORRES MADRIGAL Serguey,M,CUB,Men's Canoe Double 1000m,Canoeing,Tokyo,Cuba,2020 Tokyo,2020,116,197,31,Summer,0
Silver,LIU Hao,M,CHN,Men's Canoe Double 1000m,Canoeing,Tokyo,China,2020 Tokyo,2020,120,189,30,Summer,0
Silver,ZHENG Pengfei,M,CHN,Men's Canoe Double 1000m,Canoeing,Tokyo,China,2020 Tokyo,2020,146,203,34,Summer,0
Bronze,HECKER Tim,M,GER,Men's Canoe Double 1000m,Canoeing,Tokyo,Germany,2020 Tokyo,2020,87,185,20,Summer,0
Bronze,BRENDEL Sebastian,M,GER,Men's Canoe Double 1000m,Canoeing,Tokyo,Germany,2020 Tokyo,2020,120,169,21,Summer,0
Gold,KOPASZ Balint,M,HUN,Men's Kayak Single 1000m,Canoeing,Tokyo,Hungary,2020 Tokyo,2020,68,160,24,Summer,0
Silver,VARGA Adam,M,HUN,Men's Kayak Single 1000m,Canoeing,Tokyo,Hungary,2020 Tokyo,2020,109,188,24,Summer,0
Bronze,PIMENTA Fernando,M,POR,Men's Kayak Single 1000m,Canoeing,Tokyo,Portugal,2020 Tokyo,2020,144,150,33,Summer,0
Gold,CARRINGTON Lisa,W,NZL,Women's Kayak Double 500m,Canoeing,Tokyo,New Zealand,2020 Tokyo,2020,118,160,18,Summer,0
Gold,REGAL Caitlin,W,NZL,Women's Kayak Double 500m,Canoeing,Tokyo,New Zealand,2020 Tokyo,2020,131,181,19,Summer,0
Silver,PULAWSKA Anna,W,POL,Women's Kayak Double 500m,Canoeing,Tokyo,Poland,2020 Tokyo,2020,78,163,20,Summer,0
Silver,NAJA Karolina,W,POL,Women's Kayak Double 500m,Canoeing,Tokyo,Poland,2020 Tokyo,2020,102,189,28,Summer,0
Bronze,KOZAK Danuta,W,HUN,Women's Kayak Double 500m,Canoeing,Tokyo,Hungary,2020 Tokyo,2020,76,201,24,Summer,0
Bronze,BODONYI Dora,W,HUN,Women's Kayak Double 500m,Canoeing,Tokyo,Hungary,2020 Tokyo,2020,60,155,24,Summer,0
Gold,CARRINGTON Lisa,W,NZL,Women's Kayak Single 200m,Canoeing,Tokyo,New Zealand,2020 Tokyo,2020,92,193,26,Summer,0
Silver,PORTELA Teresa,W,ESP,Women's Kayak Single 200m,Canoeing,Tokyo,Spain,2020 Tokyo,2020,106,206,27,Summer,0
Bronze,JORGENSEN Emma Aastrand,W,DEN,Women's Kayak Single 200m,Canoeing,Tokyo,Denmark,2020 Tokyo,2020,105,207,27,Summer,0
Gold,van den BERG Roy,M,NED,Men's Team Sprint,Cycling,Tokyo,Netherlands,2020 Tokyo,2020,69,182,32,Summer,0
Gold,HOOGLAND Jeffrey,M,NED,Men's Team Sprint,Cycling,Tokyo,Netherlands,2020 Tokyo,2020,137,171,32,Summer,0
Gold,BUCHLI Matthijs,M,NED,Men's Team Sprint,Cycling,Tokyo,Netherlands,2020 Tokyo,2020,137,200,18,Summer,0
Gold,LAVREYSEN Harrie,M,NED,Men's Team Sprint,Cycling,Tokyo,Netherlands,2020 Tokyo,2020,71,158,31,Summer,0
Silver,CARLIN Jack,M,GBR,Men's Team Sprint,Cycling,Tokyo,UK,2020 Tokyo,2020,59,188,28,Summer,0
Silver,KENNY Jason,M,GBR,Men's Team Sprint,Cycling,Tokyo,UK,2020 Tokyo,2020,126,157,20,Summer,0
Silver,OWENS Ryan,M,GBR,Men's Team Sprint,Cycling,Tokyo,UK,2020 Tokyo,2020,50,178,25,Summer,0
Bronze,VIGIER Sebastien,M,FRA,Men's Team Sprint,Cycling,Tokyo,France,2020 Tokyo,2020,89,173,24,Summer,0
Bronze,HELAL Rayan,M,FRA,Men's Team Sprint,Cycling,Tokyo,France,2020 Tokyo,2020,118,168,24,Summer,0
Bronze,GRENGBO Florian,M,FRA,Men's Team Sprint,Cycling,Tokyo,France,2020 Tokyo,2020,55,181,26,Summer,0
Gold,BRENNAUER Lisa,W,GER,Women's Team Pursuit,Cycling,Tokyo,Germany,2020 Tokyo,2020,97,146,34,Summer,0
Gold,BRAUSSE Franziska,W,GER,Women's Team Pursuit,Cycling,Tokyo,Germany,2020 Tokyo,2020,146,183,26,Summer,0
Gold,KROEGER Mieke,W,GER,Women's Team Pursuit,Cycling,Tokyo,Germany,2020 Tokyo,2020,53,184,19,Summer,0
Gold,KLEIN Lisa,W,GER,Women's Team Pursuit,Cycling,Tokyo,Germany,2020 Tokyo,2020,84,208,25,Summer,0
Silver,ARCHIBALD Katie,W,GBR,Women's Team Pursuit,Cycling,Tokyo,UK,2020 Tokyo,2020,137,166,28,Summer,0
Silver,BARKER Elinor,W,GBR,Women's Team Pursuit,Cycling,Tokyo,UK,2020 Tokyo,2020,134,202,32,Summer,0
Silver,EVANS Neah,W,GBR,Women's Team Pursuit,Cycling,Tokyo,UK,2020 Tokyo,2020,88,170,31,Summer,0
Silver,KENNY Laura,W,GBR,Women's Team Pursuit,Cycling,Tokyo,UK,2020 Tokyo,2020,94,157,22,Summer,0
Silver,KNIGHT Josie,W,GBR,Women's Team Pursuit,Cycling,Tokyo,UK,2020 Tokyo,2020,78,160,32,Summer,0
Bronze,WILLIAMS Lily,W,USA,Women's Team Pursuit,Cycling,Tokyo,USA,2020 Tokyo,2020,99,202,19,Summer,0
Bronze,DYGERT Chloe,W,USA,Women's Team Pursuit,Cycling,Tokyo,USA,2020 Tokyo,2020,51,145,28,Summer,0
Bronze,WHITE Emma,W,USA,Women's Team Pursuit,Cycling,Tokyo,USA,2020 Tokyo,2020,146,195,29,Summer,0
Bronze,VALENTE Jennifer,W,USA,Women's Team Pursuit,Cycling,Tokyo,USA,2020 Tokyo,2020,93,207,25,Summer,0
Bronze,JASTRAB Megan,W,USA,Women's Team Pursuit,Cycling,Tokyo,USA,2020 Tokyo,2020,146,184,26,Summer,0
Gold,XIE Siyi,M,CHN,Men's 3m Springboard,Diving,Tokyo,China,2020 Tokyo,2020,103,183,24,Summer,0
Silver,WANG Zongyuan,M,CHN,Men's 3m Springboard,Diving,Tokyo,China,2020 Tokyo,2020,103,206,19,Summer,0
Bronze,LAUGHER Jack,M,GBR,Men's 3m Springboard,Diving,Tokyo,UK,2020 Tokyo,2020,74,180,33,Summer,0
Gold,SCOTT Giles,M,GBR,Men's One Person Dinghy (Heavyweight) - Finn,Sailing,Tokyo,UK,2020 Tokyo,2020,130,181,31,Summer,0
Silver,BERECZ Zsombor,M,HUN,Men's One Person Dinghy (Heavyweight) - Finn,Sailing,Tokyo,Hungary,2020 Tokyo,2020,101,186,26,Summer,0
Bronze,CARDONA MENDEZ Joan,M,ESP,Men's One Person Dinghy (Heavyweight) - Finn,Sailing,Tokyo,Spain,2020 Tokyo,2020,87,155,23,Summer,0
Gold,BITHELL Stuart,M,GBR,Men's Skiff - 49er,Sailing,Tokyo,UK,2020 Tokyo,2020,105,202,19,Summer,0
Gold,FLETCHER Dylan,M,GBR,Men's Skiff - 49er,Sailing,Tokyo,UK,2020 Tokyo,2020,92,141,34,Summer,0
Silver,BURLING Peter,M,NZL,Men's Skiff - 49er,Sailing,Tokyo,New Zealand,2020 Tokyo,2020,134,146,23,Summer,0
Silver,TUKE Blair,M,NZL,Men's Skiff - 49er,Sailing,Tokyo,New Zealand,2020 Tokyo,2020,142,192,27,Summer,0
Bronze,HEIL Erik,M,GER,Men's Skiff - 49er,Sailing,Tokyo,Germany,2020 Tokyo,2020,51,201,25,Summer,0
Bronze,PLOESSEL Thomas,M,GER,Men's Skiff - 49er,Sailing,Tokyo,Germany,2020 Tokyo,2020,94,152,18,Summer,0
Gold,BANTI Caterina,X,ITA,Mixed Multihull - Nacra 17 Foiling,Sailing,Tokyo,Italy,2020 Tokyo,2020,101,182,20,Summer,0
Gold,TITA Ruggero,X,ITA,Mixed Multihull - Nacra 17 Foiling,Sailing,Tokyo,Italy,2020 Tokyo,2020,69,206,33,Summer,0
Silver,GIMSON John,X,GBR,Mixed Multihull - Nacra 17 Foiling,Sailing,Tokyo,UK,2020 Tokyo,2020,109,187,19,Summer,0
Silver,BURNET Anna,X,GBR,Mixed Multihull - Nacra 17 Foiling,Sailing,Tokyo,UK,2020 Tokyo,2020,148,201,21,Summer,0
Bronze,STUHLEMMER Alica,X,GER,Mixed Multihull - Nacra 17 Foiling,Sailing,Tokyo,Germany,2020 Tokyo,2020,69,182,28,Summer,0
Bronze,KOHLHOFF Paul,X,GER,Mixed Multihull - Nacra 17 Foiling,Sailing,Tokyo,Germany,2020 Tokyo,2020,56,200,23,Summer,0
Gold,KUNZE Kahena,W,BRA,Women's Skiff - 49er FX,Sailing,Tokyo,Brazil,2020 Tokyo,2020,112,170,24,Summer,0
Gold,GRAEL Martine,W,BRA,Women's Skiff - 49er FX,Sailing,Tokyo,Brazil,2020 Tokyo,2020,77,168,19,Summer,0
Silver,BEUCKE Susann,W,GER,Women's Skiff - 49er FX,Sailing,Tokyo,Germany,2020 Tokyo,2020,108,181,26,Summer,0
Silver,LUTZ Tina,W,GER,Women's Skiff - 49er FX,Sailing,Tokyo,Germany,2020 Tokyo,2020,132,186,18,Summer,0
Bronze,BEKKERING Annemiek,W,NED,Women's Skiff - 49er FX,Sailing,Tokyo,Netherlands,2020 Tokyo,2020,120,176,21,Summer,0
Bronze,DUETZ Annette,W,NED,Women's Skiff - 49er FX,Sailing,Tokyo,Netherlands,2020 Tokyo,2020,149,151,28,Summer,0
Gold,DJURAEV Akbar,M,UZB,Men's 109kg,Weightlifting,Tokyo,Uzbekistan,2020 Tokyo,2020,105,201,30,Summer,0
Silver,MARTIROSYAN Simon,M,ARM,Men's 109kg,Weightlifting,Tokyo,Armenia,2020 Tokyo,2020,116,206,32,Summer,0
Bronze,PLESNIEKS Arturs,M,LAT,Men's 109kg,Weightlifting,Tokyo,Latvia,2020 Tokyo,2020,59,205,34,Summer,0
Gold,LORINCZ Tamas,M,HUN,Men's Greco-Roman 77kg,Wrestling,Tokyo,Hungary,2020 Tokyo,2020,119,181,22,Summer,0
Silver,MAKHMUDOV Akzhol,M,KGZ,Men's Greco-Roman 77kg,Wrestling,Tokyo,Kyrgyzstan,2020 Tokyo,2020,137,168,22,Summer,0
Bronze,HUSEYNOV Rafig,M,AZE,Men's Greco-Roman 77kg,Wrestling,Tokyo,Azerbaijan,2020 Tokyo,2020,116,173,26,Summer,0
Bronze,YABIKU Shohei,M,JPN,Men's Greco-Roman 77kg,Wrestling,Tokyo,Japan,2020 Tokyo,2020,146,151,23,Summer,0
Gold,EVLOEV Musa,M,ROC,Men's Greco-Roman 97kg,Wrestling,Tokyo,,2020 Tokyo,2020,149,140,30,Summer,0
Silver,ALEKSANYAN Artur,M,ARM,Men's Greco-Roman 97kg,Wrestling,Tokyo,Armenia,2020 Tokyo,2020,143,160,31,Summer,0
Bronze,MICHALIK Tadeusz,M,POL,Men's Greco-Roman 97kg,Wrestling,Tokyo,Poland,2020 Tokyo,2020,79,206,18,Summer,0
Bronze,SARAVI Mohammadhadi,M,IRI,Men's Greco-Roman 97kg,Wrestling,Tokyo,Iran,2020 Tokyo,2020,92,196,28,Summer,0
Gold,MENSAH STOCK Tamyra Mariama,W,USA,Women's Freestyle 68kg,Wrestling,Tokyo,USA,2020 Tokyo,2020,132,185,23,Summer,0
Silver,OBORUDUDU Blessing,W,NGR,Women's Freestyle 68kg,Wrestling,Tokyo,Nigeria,2020 Tokyo,2020,67,150,25,Summer,0
Bronze,CHERKASOVA Alla,W,UKR,Women's Freestyle 68kg,Wrestling,Tokyo,Ukraine,2020 Tokyo,2020,91,190,28,Summer,0
Bronze,ZHUMANAZAROVA Meerim,W,KGZ,Women's Freestyle 68kg,Wrestling,Tokyo,Kyrgyzstan,2020 Tokyo,2020,142,206,21,Summer,0
Gold,KOLESNICHENKO Svetlana,W,ROC,Duet,Artistic Swimming,Tokyo,,2020 Tokyo,2020,72,200,33,Summer,0
Gold,ROMASHINA Svetlana,W,ROC,Duet,Artistic Swimming,Tokyo,,2020 Tokyo,2020,102,178,32,Summer,0
Silver,HUANG Xuechen,W,CHN,Duet,Artistic Swimming,Tokyo,China,2020 Tokyo,2020,142,192,34,Summer,0
Silver,SUN Wenyan,W,CHN,Duet,Artistic Swimming,Tokyo,China,2020 Tokyo,2020,79,143,19,Summer,0
Bronze,SAVCHUK Anastasiya,W,UKR,Duet,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,94,171,24,Summer,0
Bronze,FIEDINA Marta,W,UKR,Duet,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,66,203,23,Summer,0
Gold,de GRASSE Andre,M,CAN,Men's 200m,Athletics,Tokyo,Canada,2020 Tokyo,2020,90,186,32,Summer,0
Silver,BEDNAREK Kenneth,M,USA,Men's 200m,Athletics,Tokyo,USA,2020 Tokyo,2020,125,189,22,Summer,0
Bronze,LYLES Noah,M,USA,Men's 200m,Athletics,Tokyo,USA,2020 Tokyo,2020,129,162,21,Summer,0
Gold,KORIR Emmanuel Kipkurui,M,KEN,Men's 800m,Athletics,Tokyo,Kenya,2020 Tokyo,2020,59,162,34,Summer,0
Silver,ROTICH Ferguson Cheruiyot,M,KEN,Men's 800m,Athletics,Tokyo,Kenya,2020 Tokyo,2020,150,160,22,Summer,0
Bronze,DOBEK Patryk,M,POL,Men's 800m,Athletics,Tokyo,Poland,2020 Tokyo,2020,147,149,26,Summer,0
Gold,WARNER Damian,M,CAN,Men's Decathlon,Athletics,Tokyo,Canada,2020 Tokyo,2020,107,177,31,Summer,0
Silver,MAYER Kevin,M,FRA,Men's Decathlon,Athletics,Tokyo,France,2020 Tokyo,2020,59,171,21,Summer,0
Bronze,MOLONEY Ashley,M,AUS,Men's Decathlon,Athletics,Tokyo,Australia,2020 Tokyo,2020,115,201,32,Summer,0
Gold,NOWICKI Wojciech,M,POL,Men's Hammer Throw,Athletics,Tokyo,Poland,2020 Tokyo,2020,50,166,20,Summer,0
Silver,HENRIKSEN Eivind,M,NOR,Men's Hammer Throw,Athletics,Tokyo,Norway,2020 Tokyo,2020,50,173,30,Summer,0
Bronze,FAJDEK Pawel,M,POL,Men's Hammer Throw,Athletics,Tokyo,Poland,2020 Tokyo,2020,121,153,20,Summer,0
Gold,CHEMUTAI Peruth,W,UGA,Women's 3000m Steeplechase,Athletics,Tokyo,Uganda,2020 Tokyo,2020,131,167,20,Summer,0
Silver,FRERICHS Courtney,W,USA,Women's 3000m Steeplechase,Athletics,Tokyo,USA,2020 Tokyo,2020,106,192,32,Summer,0
Bronze,KIYENG Hyvin,W,KEN,Women's 3000m Steeplechase,Athletics,Tokyo,Kenya,2020 Tokyo,2020,77,202,33,Summer,0
Gold,McLAUGHLIN Sydney,W,USA,Women's 400m Hurdles,Athletics,Tokyo,USA,2020 Tokyo,2020,65,193,32,Summer,0
Silver,MUHAMMAD Dalilah,W,USA,Women's 400m Hurdles,Athletics,Tokyo,USA,2020 Tokyo,2020,138,182,28,Summer,0
Bronze,BOL Femke,W,NED,Women's 400m Hurdles,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,106,197,32,Summer,0
Gold,THIAM Nafissatou,W,BEL,Women's Heptathlon,Athletics,Tokyo,Belgium,2020 Tokyo,2020,80,198,24,Summer,0
Silver,VETTER Anouk,W,NED,Women's Heptathlon,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,70,172,32,Summer,0
Bronze,OOSTERWEGEL Emma,W,NED,Women's Heptathlon,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,110,175,23,Summer,0
Gold,LOPEZ Arlen,M,CUB,Men's Light Heavy (75-81kg),Boxing,Tokyo,Cuba,2020 Tokyo,2020,96,182,26,Summer,0
Silver,WHITTAKER Benjamin,M,GBR,Men's Light Heavy (75-81kg),Boxing,Tokyo,UK,2020 Tokyo,2020,69,194,26,Summer,0
Bronze,KUNKABAYEV Kamshybek,M,KAZ,Men's Super Heavy (+91kg),Boxing,Tokyo,Kazakhstan,2020 Tokyo,2020,82,181,21,Summer,0
Bronze,CLARKE Frazer,M,GBR,Men's Super Heavy (+91kg),Boxing,Tokyo,UK,2020 Tokyo,2020,103,188,28,Summer,0
Bronze,HUANG Hsiao-Wen,W,TPE,Women's Fly (48-51kg),Boxing,Tokyo,Taiwan,2020 Tokyo,2020,68,146,25,Summer,0
Bronze,NAMIKI Tsukimi,W,JPN,Women's Fly (48-51kg),Boxing,Tokyo,Japan,2020 Tokyo,2020,108,196,22,Summer,0
Bronze,BORGOHAIN Lovlina,W,IND,Women's Welter (64-69kg),Boxing,Tokyo,India,2020 Tokyo,2020,78,200,33,Summer,0
Bronze,JONES Oshae,W,USA,Women's Welter (64-69kg),Boxing,Tokyo,USA,2020 Tokyo,2020,112,185,22,Summer,0
Gold,CONSONNI Simone,M,ITA,Men's Team Pursuit,Cycling,Tokyo,Italy,2020 Tokyo,2020,114,145,21,Summer,0
Gold,GANNA Filippo,M,ITA,Men's Team Pursuit,Cycling,Tokyo,Italy,2020 Tokyo,2020,67,153,24,Summer,0
Gold,MILAN Jonathan,M,ITA,Men's Team Pursuit,Cycling,Tokyo,Italy,2020 Tokyo,2020,66,168,27,Summer,0
Gold,LAMON Francesco,M,ITA,Men's Team Pursuit,Cycling,Tokyo,Italy,2020 Tokyo,2020,115,152,23,Summer,0
Silver,LARSEN Niklas,M,DEN,Men's Team Pursuit,Cycling,Tokyo,Denmark,2020 Tokyo,2020,146,170,32,Summer,0
Silver,MADSEN Frederik,M,DEN,Men's Team Pursuit,Cycling,Tokyo,Denmark,2020 Tokyo,2020,60,197,32,Summer,0
Silver,HANSEN Lasse Norman,M,DEN,Men's Team Pursuit,Cycling,Tokyo,Denmark,2020 Tokyo,2020,85,159,28,Summer,0
Silver,PEDERSEN Rasmus,M,DEN,Men's Team Pursuit,Cycling,Tokyo,Denmark,2020 Tokyo,2020,93,179,24,Summer,0
Bronze,O'BRIEN Kelland,M,AUS,Men's Team Pursuit,Cycling,Tokyo,Australia,2020 Tokyo,2020,60,173,20,Summer,0
Bronze,WELSFORD Sam,M,AUS,Men's Team Pursuit,Cycling,Tokyo,Australia,2020 Tokyo,2020,113,170,25,Summer,0
Bronze,PLAPP Lucas,M,AUS,Men's Team Pursuit,Cycling,Tokyo,Australia,2020 Tokyo,2020,137,180,24,Summer,0
Bronze,HOWARD Leigh,M,AUS,Men's Team Pursuit,Cycling,Tokyo,Australia,2020 Tokyo,2020,66,207,26,Summer,0
Bronze,PORTER Alexander,M,AUS,Men's Team Pursuit,Cycling,Tokyo,Australia,2020 Tokyo,2020,124,152,27,Summer,0
Gold,MAHER Ben,O,GBR,Jumping Individual,Equestrianism,Tokyo,UK,2020 Tokyo,2020,73,187,24,Summer,0
Silver,FREDRICSON Peder,O,SWE,Jumping Individual,Equestrianism,Tokyo,Sweden,2020 Tokyo,2020,81,199,18,Summer,0
Bronze,van der VLEUTEN Maikel,O,NED,Jumping Individual,Equestrianism,Tokyo,Netherlands,2020 Tokyo,2020,147,156,20,Summer,0
Gold,CUNHA Ana Marcela,W,BRA,Women's 10km,Marathon Swimming,Tokyo,Brazil,2020 Tokyo,2020,63,141,19,Summer,0
Silver,van ROUWENDAAL Sharon,W,NED,Women's 10km,Marathon Swimming,Tokyo,Netherlands,2020 Tokyo,2020,62,165,21,Summer,0
Bronze,LEE Kareena,W,AUS,Women's 10km,Marathon Swimming,Tokyo,Australia,2020 Tokyo,2020,100,202,29,Summer,0
Gold,RYAN Will,M,AUS,Men's Two Person Dinghy - 470,Sailing,Tokyo,Australia,2020 Tokyo,2020,95,205,34,Summer,0
Gold,BELCHER Mathew,M,AUS,Men's Two Person Dinghy - 470,Sailing,Tokyo,Australia,2020 Tokyo,2020,107,205,30,Summer,0
